Cluster Size,Time to Leader (s),Elections Held,Stable Leader?
3,0.22,1,Yes
13,0.21,1,Yes
23,0.17,1,Yes
33,0.16,1,Yes
43,0.16,2,No
53,0.16,1,Yes
63,0.16,2,No
73,0.16,1,Yes
83,0.16,1,Yes
93,0.17,3,No
103,0.16,2,No
113,0.16,1,Yes
123,0.17,3,No
133,0.16,1,Yes
143,0.16,1,Yes
153,0.16,2,No
163,0.16,1,Yes
173,0.16,1,Yes
183,0.16,1,Yes
193,0.16,1,Yes
